sku,name,price,image_filenames,primary_image,product_url
00O02A,Wedding & Anniversary Cards,,00O02A_0.png|00O02A_1.jpg|00O02A_2.jpg|00O02A_3.jpg|00O02A_4.jpg,00O02A_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/00O02A
03R01E,Cards ephemera,,03R01E_0.png,03R01E_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/03R01E
0B003A,Merry Christmas card,,0B003A_0.png|0B003A_1.jpg,0B003A_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003A
0B003D,Valentine Card 1,,0B003D_0.png|0B003D_1.jpg,0B003D_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003D
0B003E,Valentine card 2,,0B003E_0.png|0B003E_1.jpg,0B003E_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003E
0B003S,Happy Birthday card (masculine) T64,,0B003S_0.png|0B003S_1.jpg,0B003S_0.png,https://bowenstreet.ricoconsign.com/store/product/Cards/0B003S
03R061,Bke sweater,,03R061_0.png|03R061_1.jpg,03R061_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R061
03R066,Ajax dress,,03R066_0.png|03R066_1.jpg,03R066_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R066
03R07I,Apron1,,03R07I_0.png|03R07I_1.jpg,03R07I_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R07I
03R07J,Apron2,,03R07J_0.png|03R07J_1.jpg,03R07J_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R07J
03R09L,Pendleton red shirt,,03R09L_0.png|03R09L_1.jpg,03R09L_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R09L
03R09X,Ivory child’s sweater,,03R09X_0.png|03R09X_1.jpg,03R09X_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R09X
03R09Y,Pink  baby pants,,03R09Y_0.png|03R09Y_1.jpg,03R09Y_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/03R09Y
0B003N,Valentine stretch gloves,,0B003N_0.png|0B003N_1.jpeg,0B003N_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/0B003N
0B100A,Prayer shawl  1739 #64,,0B100A_0.png|0B100A_1.jpg|0B100A_2.jpg,0B100A_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/0B100A
0B100E,Skull beanie 1739 #64,,0B100E_0.png|0B100E_1.jpg,0B100E_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/0B100E
0B100G,Purple bow hair tie 1739 #64,,0B100G_0.png|0B100G_1.jpg,0B100G_0.png,https://bowenstreet.ricoconsign.com/store/product/Clothing/0B100G
0AP04G,Yellow Hen Chick,,0AP04G_0.png|0AP04G_1.jpg|0AP04G_2.jpg|0AP04G_3.jpg|0AP04G_4.jpg,0AP04G_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0AP04G
0AP04H,Yellow Hen Chick,,0AP04H_0.png|0AP04H_1.jpg|0AP04H_2.jpg|0AP04H_3.jpg|0AP04H_4.jpg,0AP04H_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0AP04H
0AP04I,White Hen Chick,,0AP04I_0.png|0AP04I_1.jpg|0AP04I_2.jpg|0AP04I_3.jpg|0AP04I_4.jpg,0AP04I_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0AP04I
0AP04J,White Hen Chick,,0AP04J_0.png|0AP04J_1.jpg|0AP04J_2.jpg|0AP04J_3.jpg|0AP04J_4.jpg,0AP04J_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0AP04J
0B100U,Magnet 3  Booth 64,,0B100U_0.png|0B100U_1.jpg,0B100U_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100U
0B100W,Magnet 5. Booth 64,,0B100W_0.png|0B100W_1.jpg,0B100W_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100W
0B100X,Magnet 6  Booth 64,,0B100X_0.png|0B100X_1.jpg,0B100X_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100X
0B100Z,Magnet 8. Booth 64,,0B100Z_0.png|0B100Z_1.jpg,0B100Z_0.png,https://bowenstreet.ricoconsign.com/store/product/Decorations/0B100Z
